dimension,ef_search,k,vanilla_recall_at_k,xqdrant_recall_at_k,vanilla_recall_gap,vanilla_p50_ms,vanilla_p95_ms,vanilla_p99_ms,xqdrant_p50_ms,xqdrant_p95_ms,xqdrant_p99_ms
768,16,10,0.43860000000000005,0.4468,-0.00819999999999993,2.769417,3.0370913500000003,3.9597919899999985,2.802646,3.0572083500000002,4.543857169999997
768,22,10,0.47479999999999994,0.48219999999999996,-0.007400000000000018,2.7946455,3.1038249999999996,3.6035994999999996,2.8222085,3.1049396000000002,4.283740919999995
768,32,10,0.5322,0.5336,-0.0013999999999999568,2.863271,3.0956854499999995,3.9103142499999946,2.8911665,3.1273038499999997,4.152841999999988
768,45,10,0.5902000000000001,0.587,0.0032000000000000917,3.0154795,3.28596845,4.493060499999997,3.0217295,3.21490625,3.8718015799999996
768,64,10,0.6564,0.6527999999999999,0.0036000000000000476,3.2088125,3.6440103999999995,5.106835749999995,3.1970415,3.6091979,5.243003509999997
768,90,10,0.7234,0.7148,0.008600000000000052,3.4161875,3.6965079999999997,4.379793989999992,3.430708,3.7196481999999986,5.243367079999998
768,128,10,0.7964,0.7916,0.0048000000000000265,3.717771,3.9734701999999995,5.3457114899999665,3.7067085,3.9126017499999994,4.540689159999997
768,181,10,0.8704000000000001,0.8652000000000001,0.005199999999999982,4.052334,4.33955385,5.7650137499999845,4.0612715,4.311173199999999,5.066456009999999
768,256,10,0.93,0.9294000000000001,0.0005999999999999339,4.4033125,4.731081549999999,5.72327040999999,4.384271,4.6714548,5.552229579999986
768,362,10,0.9698000000000001,0.9694,0.00040000000000006697,4.788979,5.0180205,5.772661749999992,4.760896,5.0245205,5.738896419999991
768,512,10,0.9898,0.9890000000000001,0.0007999999999999119,5.173313,5.41281105,9.52667315999999,5.0749995,5.248131249999999,8.652079409999981
