dimension,m,k,ef_search,post_query_p50_ms,post_query_p95_ms,post_query_p99_ms,xqdrant_p50_ms,xqdrant_p95_ms,xqdrant_p99_ms,overhead_p50_ms,overhead_p95_ms,speedup_p50
768,1,10,128,7.8123745,8.941529449999996,12.004091839999997,3.5716875,4.219716999999997,7.352381339999997,4.240686999999999,4.721812449999999,2.1873062802946786
768,5,10,128,7.784458,8.678561049999999,9.81746459,3.491146,4.02015415,4.55987542,4.293312,4.658406899999999,2.2297715420667026
768,10,10,128,7.7405625,9.13499585,10.508800509999995,3.470979,4.285562199999998,5.00918642,4.2695835,4.849433650000001,2.2300804758542188
768,20,10,128,7.7547085,7.88398185,8.206251329999999,3.4809795,3.609625,3.78432208,4.2737289999999994,4.27435685,2.227737480212107
768,50,10,128,7.851146,7.988170199999999,8.27032842,3.6169585,3.7536183999999997,3.8958665799999994,4.2341875,4.234551799999999,2.170648626463367
