dimension,m,k,ef_search,post_query_p50_ms,post_query_p95_ms,post_query_p99_ms,xqdrant_p50_ms,xqdrant_p95_ms,xqdrant_p99_ms,overhead_p50_ms,overhead_p95_ms,speedup_p50
1536,1,10,128,12.36075,12.824220799999999,14.74783842,4.9125415,5.33289405,6.094948329999999,7.4482085,7.491326749999999,2.5161619499804737
1536,5,10,128,12.303729,14.19183545,26.206577829999997,4.863458,5.664344049999996,9.932818089999998,7.440271000000001,8.527491400000002,2.529831449145855
1536,10,10,128,12.306125,12.68475175,13.797353329999998,4.878,5.1713100999999995,5.95467101,7.428125,7.513441650000001,2.522780852808528
1536,20,10,128,12.489417,13.085033,14.921244669999998,4.9890625,5.340154199999999,5.941365,7.500354499999999,7.7448788,2.503359498903852
1536,50,10,128,12.5504585,12.8941226,13.24862983,5.09925,5.3463728999999995,5.56137542,7.4512085,7.5477497,2.461236162180713
