dimension,subspace_ratio,subspace_dims,ef_search,full_p50_ms,rescore_p50_ms,masked_p50_ms,rescore_speedup,masked_speedup,rescore_recall_at_k,masked_recall_at_k
768,1.0,768,128,3.094916,3.094916,3.094916,1.0,1.0,1.0,1.0
768,0.25,192,128,3.094916,34.8624,6.492076,0.08877518472623801,0.47672208396820986,1.0,1.0
768,0.5,384,128,3.094916,79.128168,29.642512,0.03911269625249001,0.10440802048085533,1.0,1.0
768,0.75,576,128,3.094916,93.983849,52.792649,0.03293029635336599,0.05862399517023668,1.0,1.0
